"GEOID","TractLat","TractLon","OSHPDID_1","HospLat_1","HospLon_1","Dist_1","OSHPDID_2","HospLat_2","HospLon_2","Dist_2","OSHPDID_3","HospLat_3","HospLon_3","Dist_3"
6001400100,37.8676275,-122.231946,306012807,37.8675,-122.26176,0.0298142726265476,306014044,37.86379,-122.26895,0.0372024518311727,306014360,37.85309,-122.26957,0.0403349015401115
6001400200,37.8481386,-122.2495968,306014210,37.831642,-122.254379,0.0171757750450984,306013630,37.84891,-122.26989,0.0203078562187125,306014360,37.85309,-122.26957,0.0205777812263579
6001400300,37.8405983,-122.2544365,306014210,37.831642,-122.254379,0.00895648457487769,306014187,37.83735,-122.26715,0.0131219104988609,306013630,37.84891,-122.26989,0.0175469376000512
6001400400,37.8482803,-122.2574533,306013630,37.84891,-122.26989,0.0124526314078682,306014360,37.85309,-122.26957,0.0130363964721927,306014187,37.83735,-122.26715,0.0146115519018373
6001400500,37.8485412,-122.2647277,306013630,37.84891,-122.26989,0.00517545695857789,306014360,37.85309,-122.26957,0.00664375275955441,306014187,37.83735,-122.26715,0.0114503491095253
6001400600,37.8419909,-122.2648882,306014187,37.83735,-122.26715,0.00516272138023944,306013630,37.84891,-122.26989,0.00853767814162541,306014296,37.84176,-122.274544,0.00965856037150904
6001400700,37.8417667,-122.2723529,306014296,37.84176,-122.274544,0.00219111024369381,306014187,37.83735,-122.26715,0.00682476426699166,306013630,37.84891,-122.26989,0.0075559652791636
6001400800,37.8454675,-122.2833944,306014163,37.8479,-122.27817,0.00576293428819508,306014161,37.84816,-122.27793,0.00609173403967209,306014328,37.83777,-122.28599,0.0081233395601775
6001400900,37.8394912,-122.2802646,306014328,37.83777,-122.28599,0.00597852277741152,306014296,37.84176,-122.274544,0.00615408139366818,306014163,37.8479,-122.27817,0.00866575251204729
6001401000,37.8312255,-122.2719014,306014187,37.83735,-122.26715,0.00775147097072649,306014296,37.84176,-122.274544,0.010860894300654,306014058,37.81905,-122.26486,0.0140649960615068
6001401100,37.8305038,-122.2638582,306014187,37.83735,-122.26715,0.00759647297632084,306014210,37.831642,-122.254379,0.0095472892425035,306014058,37.81905,-122.26486,0.01149752745942
6001401200,37.8306139,-122.2579003,306014210,37.831642,-122.254379,0.0036683161395956,306014187,37.83735,-122.26715,0.0114425518701001,306014254,37.8190119,-122.2646799,0.0134376106566644
6001401300,37.8181162,-122.2666978,306014058,37.81905,-122.26486,0.00206142942639625,306014254,37.8190119,-122.2646799,0.00220775879570108,306014245,37.81075,-122.26253,0.00846353704310659
6001401400,37.820756,-122.2733874,306014058,37.81905,-122.26486,0.00869637779538778,306014254,37.8190119,-122.2646799,0.00888045275084606,306014116,37.80983,-122.27314,0.010928800609404
6001401500,37.8229286,-122.2806336,306014116,37.80983,-122.27314,0.0150906382542302,306014328,37.83777,-122.28599,0.015778408504029,306014058,37.81905,-122.26486,0.016243460066134
6001401600,37.8173716,-122.2814825,306014116,37.80983,-122.27314,0.0112460231553208,306014229,37.807256,-122.274352,0.0123761623134965,306014253,37.80723,-122.27429,0.0124331857064116
6001401700,37.8225184,-122.3077741,306014319,37.806615,-122.300306,0.0175695944509236,306014261,37.8081661,-122.2965249,0.0182354878171702,306014328,37.83777,-122.28599,0.0265924484651224
6001401800,37.8095326,-122.2982355,306014261,37.8081661,-122.2965249,0.00218940051384452,306014319,37.806615,-122.300306,0.00357761932155836,306010992,37.80441,-122.28795,0.0114905413715014
6001402200,37.8063521,-122.2963073,306014261,37.8081661,-122.2965249,0.00182700458675145,306014319,37.806615,-122.300306,0.00400733304082522,306010992,37.80441,-122.28795,0.00857998925990035
6001402400,37.812031,-122.2824569,306010992,37.80441,-122.28795,0.00939434875922509,306014229,37.807256,-122.274352,0.00940691389404926,306014253,37.80723,-122.27429,0.00947353453628085
6001402500,37.8057305,-122.2847803,306010992,37.80441,-122.28795,0.00343376154384955,306014229,37.807256,-122.274352,0.0105392879806948,306014253,37.80723,-122.27429,0.0105969285333061
6001402600,37.8042701,-122.2799551,306014229,37.807256,-122.274352,0.00634904153554345,306014253,37.80723,-122.27429,0.00639174201763661,306010992,37.80441,-122.28795,0.00799612393725853
6001402700,37.8103873,-122.276991,306014116,37.80983,-122.27314,0.00389111607254068,306014229,37.807256,-122.274352,0.00409504098758598,306014253,37.80723,-122.27429,0.00415499028759904
6001402800,37.808718,-122.2715001,306014116,37.80983,-122.27314,0.00198136720725874,306014253,37.80723,-122.27429,0.00316191176505366,306014229,37.807256,-122.274352,0.00320480539346263
6001402900,37.8071721,-122.2667847,306014245,37.81075,-122.26253,0.00555912227784284,306014116,37.80983,-122.27314,0.00688870601055965,306014253,37.80723,-122.27429,0.00750552333284407
6001403000,37.8004341,-122.2707274,306014182,37.79977,-122.27062,0.000672728451898443,306014327,37.79952,-122.27122,0.00103838026271366,306011006,37.79947,-122.27117,0.00106084097299948
6001403100,37.8022741,-122.2755012,306014327,37.79952,-122.27122,0.00509055402190503,306014253,37.80723,-122.27429,0.0051017595249079,306014229,37.807256,-122.274352,0.00511272806337701
6001403300,37.7944308,-122.2663244,306014182,37.79977,-122.27062,0.00685268093522146,306011006,37.79947,-122.27117,0.00699094957784335,306014327,37.79952,-122.27122,0.00706164683342213
6001403400,37.8026482,-122.2626597,306014245,37.81075,-122.26253,0.00810283810340414,306014182,37.79977,-122.27062,0.00846465659846185,306011006,37.79947,-122.27117,0.00908439108195823
6001403501,37.8177398,-122.2600504,306014254,37.8190119,-122.2646799,0.00480109452729998,306014058,37.81905,-122.26486,0.00498486471230783,306014245,37.81075,-122.26253,0.00741658413287394
6001403502,37.8159619,-122.2569401,306014245,37.81075,-122.26253,0.00764270133002945,306014254,37.8190119,-122.2646799,0.00831907471057739,306014058,37.81905,-122.26486,0.00850065748163446
6001403600,37.8135075,-122.2534803,306014245,37.81075,-122.26253,0.00946049028009919,306014254,37.8190119,-122.2646799,0.0124791610102579,306014058,37.81905,-122.26486,0.012657680606643
6001403701,37.8112134,-122.2586656,306014245,37.81075,-122.26253,0.00389208516350591,306014254,37.8190119,-122.2646799,0.00984826922560732,306014058,37.81905,-122.26486,0.00998913864754805
6001403702,37.8094979,-122.2520933,306014272,37.79998,-122.25266,0.00953475585948505,306014245,37.81075,-122.26253,0.0105115394353062,306014254,37.8190119,-122.2646799,0.0157777912129741
6001403800,37.8148228,-122.2416681,306014272,37.79998,-122.25266,0.0184697205569083,306014210,37.831642,-122.254379,0.0210820413492162,306014245,37.81075,-122.26253,0.0212557420818474
6001403900,37.8171784,-122.2487713,306014245,37.81075,-122.26253,0.0151863804854866,306014210,37.831642,-122.254379,0.0155126407890456,306014254,37.8190119,-122.2646799,0.0160139088360738
6001404000,37.8233126,-122.2536627,306014210,37.831642,-122.254379,0.00836014294435245,306014254,37.8190119,-122.2646799,0.0118268641799069,306014058,37.81905,-122.26486,0.0119812055340795
6001404101,37.8300795,-122.249816,306014210,37.831642,-122.254379,0.00482310846343509,306014254,37.8190119,-122.2646799,0.018531791412872,306014058,37.81905,-122.26486,0.0186540024190542
6001404102,37.8260219,-122.2510667,306014210,37.831642,-122.254379,0.00652356155026134,306014254,37.8190119,-122.2646799,0.0153120643363413,306014058,37.81905,-122.26486,0.0154551775952312
6001404200,37.8361135,-122.2344665,306014210,37.831642,-122.254379,0.0204083798597576,306014187,37.83735,-122.26715,0.0327068816077028,306014254,37.8190119,-122.2646799,0.0347176361827906
6001404300,37.8446717,-122.2381046,306014210,37.831642,-122.254379,0.0208477619290401,306014187,37.83735,-122.26715,0.0299540072786604,306013630,37.84891,-122.26989,0.0320667248101553
6001404400,37.846243,-122.2150688,306014210,37.831642,-122.254379,0.0419342464465523,306012807,37.8675,-122.26176,0.0513023216476579,306014187,37.83735,-122.26715,0.052834996379676
6001404501,37.8271275,-122.2171515,306014210,37.831642,-122.254379,0.0375002328859436,306014277,37.7897817,-122.2373363,0.0424515597908974,306014272,37.79998,-122.25266,0.0446972071666755
6001404502,37.8345259,-122.2026155,306014210,37.831642,-122.254379,0.0518437731213761,306014277,37.7897817,-122.2373363,0.0566354781588405,306014331,37.7820756,-122.2267139,0.0577214592040984
6001404600,37.8198587,-122.1912195,306014211,37.77367,-122.20957,0.0497004714056054,306014331,37.7820756,-122.2267139,0.051840284306408,306013346,37.78001,-122.22533,0.0524542191052333
