GEOID,TractLat,TractLon,OSHPDID_1,HospLat_1,HospLon_1,Dist_1,OSHPDID_2,HospLat_2,HospLon_2,Dist_2,OSHPDID_3,HospLat_3,HospLon_3,Dist_3,duration_0,duration_1,duration_2,duration_in_traffic_0,duration_in_traffic_1,duration_in_traffic_2
6065045115,33.7048236,-116.387138,106334487,33.91187,-117.19525,0.834214130962174,106364231,34.07163215,-117.3527761,1.03295955996579,106374141,32.87799,-117.22331,1.17594107661608,4083,4433,7852,3972,4409,7990
6065045116,33.7157012,-116.3969668,106334487,33.91187,-117.19525,0.82203300754634,106364231,34.07163215,-117.3527761,1.0199305168169,106374141,32.87799,-117.22331,1.1766916073431,3961,4310,7884,3853,4293,8032
6065045117,33.7163491,-116.3757287,106334487,33.91187,-117.19525,0.842522156082858,106364231,34.07163215,-117.3527761,1.03963823874657,106374141,32.87799,-117.22331,1.19215772474221,4037,4387,8055,4043,4477,8210
6065045118,33.7348325,-116.3868788,106334487,33.91187,-117.19525,0.82753022506473,106364231,34.07163215,-117.3527761,1.02293284158218,106374141,32.87799,-117.22331,1.19741230248386,3779,4128,8161,3695,4137,8286
6065045119,33.7324563,-116.3693669,106334487,33.91187,-117.19525,0.845146242145877,106364231,34.07163215,-117.3527761,1.04025665672845,106374141,32.87799,-117.22331,1.20802792843266,3808,4157,8235,3800,4239,8372
6065045120,33.683543,-116.3015715,106334487,33.91187,-117.19525,0.922385212528509,106364231,34.07163215,-117.3527761,1.12055535312134,106374141,32.87799,-117.22331,1.22413949294648,4334,4683,8958,4297,4725,9107
6065045121,33.6936573,-116.2807908,106334487,33.91187,-117.19525,0.940134251533218,106364231,34.07163215,-117.3527761,1.13666946411373,106374141,32.87799,-117.22331,1.24645721413049,4331,4680,8955,4293,4721,9101
6065045122,33.7190019,-116.3232926,106334487,33.91187,-117.19525,0.893032928515163,106364231,34.07163215,-117.3527761,1.08820235709509,106374141,32.87799,-117.22331,1.23180044497653,4124,4473,8527,4120,4554,8681
6065045123,33.7257301,-116.3498891,106334487,33.91187,-117.19525,0.865611410288026,106364231,34.07163215,-117.3527761,1.06086312169064,106374141,32.87799,-117.22331,1.21718007940684,3977,4327,8449,3956,4393,8590
6065045124,33.676516,-116.4287162,106334487,33.91187,-117.19525,0.801851340248582,106364231,34.07163215,-117.3527761,1.00498928888762,106374141,32.87799,-117.22331,1.12650924526808,4341,4691,7870,4232,4668,8002
6065045125,33.6569608,-116.3457042,106334487,33.91187,-117.19525,0.88696491843944,106364231,34.07163215,-117.3527761,1.08910336528744,106374141,32.87799,-117.22331,1.17345108438584,4648,4997,9272,4623,5020,9322
6065045207,33.7074307,-116.2405275,106334487,33.91187,-117.19525,0.976365955669668,106364231,34.07163215,-117.3527761,1.17035876738035,106374141,32.87799,-117.22331,1.28601450890834,4063,4413,8879,4047,4482,9134
6065045209,33.7260991,-116.2381506,106334487,33.91187,-117.19525,0.974961583226323,106364231,34.07163215,-117.3527761,1.16695462375045,106374141,32.87799,-117.22331,1.29993387866891,3864,4213,8680,3819,4258,8916
6065045212,33.730735,-116.2611913,106334487,33.91187,-117.19525,0.951459690828101,106364231,34.07163215,-117.3527761,1.1435769508298,106374141,32.87799,-117.22331,1.28563075099918,3835,4185,8652,3786,4227,8884
6065045213,33.7142853,-116.2596224,106334487,33.91187,-117.19525,0.956262892491315,106364231,34.07163215,-117.3527761,1.15007903338363,106374141,32.87799,-117.22331,1.27596380011185,4041,4391,9031,4020,4454,9142
6065045214,33.7365841,-116.2853543,106334487,33.91187,-117.19525,0.926625777548473,106364231,34.07163215,-117.3527761,1.11877008135007,106374141,32.87799,-117.22331,1.27159141382652,3849,4198,8738,3799,4238,8919
6065045215,33.719326,-116.2834051,106334487,33.91187,-117.19525,0.931951883732212,106364231,34.07163215,-117.3527761,1.12591028015949,106374141,32.87799,-117.22331,1.26145451203761,3951,4301,8762,3933,4371,8916
6065045216,33.7486001,-116.2433518,106334487,33.91187,-117.19525,0.965798759270924,106364231,34.07163215,-117.3527761,1.15549642265032,106374141,32.87799,-117.22331,1.31083180460701,3909,4259,8726,3852,4292,8947
6065045217,33.7289861,-116.2476921,106334487,33.91187,-117.19525,0.965045332993032,106364231,34.07163215,-117.3527761,1.15698615490273,106374141,32.87799,-117.22331,1.29461370648377,3831,4181,8648,3789,4229,8887
6065045222,33.7259738,-116.1809846,106334487,33.91187,-117.19525,1.03116036522531,106364231,34.07163215,-117.3527761,1.22170987325018,106374141,32.87799,-117.22331,1.34369593455797,4016,4366,8833,3960,4397,9051
6065045224,33.6963102,-116.2578731,106334487,33.91187,-117.19525,0.961842752236382,106364231,34.07163215,-117.3527761,1.15744509397241,106374141,32.87799,-117.22331,1.26558933213332,4264,4614,9174,4202,4637,9255
6065045226,33.6929269,-116.2077696,106334487,33.91187,-117.19525,1.01146113193823,106364231,34.07163215,-117.3527761,1.20600893504973,106374141,32.87799,-117.22331,1.30209233736083,4134,4483,8950,4106,4540,9169
6065045228,33.8022017,-116.2439847,106334487,33.91187,-117.19525,0.957566084930427,106364231,34.07163215,-117.3527761,1.14105702578844,106374141,32.87799,-117.22331,1.34656797438414,4331,4681,9190,4283,4713,9278
6065045233,33.7491593,-116.2890686,106334487,33.91187,-117.19525,0.920673395727532,106364231,34.07163215,-117.3527761,1.11151355571733,106374141,32.87799,-117.22331,1.27739694016249,3783,4133,8599,3736,4178,8838
6065045302,33.7343347,-116.2251547,106334487,33.91187,-117.19525,0.986206709482437,106364231,34.07163215,-117.3527761,1.17698750694918,106374141,32.87799,-117.22331,1.31515787954762,3804,4154,8621,3762,4203,8862
6065045303,33.7247482,-116.2114686,106334487,33.91187,-117.19525,1.00141919844848,106364231,34.07163215,-117.3527761,1.19285845108455,106374141,32.87799,-117.22331,1.3194023146945,3890,4240,8707,3843,4283,8939
6065045304,33.7444899,-116.2164629,106334487,33.91187,-117.19525,0.992995611774005,106364231,34.07163215,-117.3527761,1.18246764870305,106374141,32.87799,-117.22331,1.32836860828553,3867,4217,8684,3791,4232,8890
6065045501,33.7069847,-116.22611,106334487,33.91187,-117.19525,0.990560611853753,106364231,34.07163215,-117.3527761,1.18420617448175,106374141,32.87799,-117.22331,1.29678064938836,4114,4463,8930,4086,4520,9156
6065045502,33.7209294,-116.2278676,106334487,33.91187,-117.19525,0.986046155389356,106364231,34.07163215,-117.3527761,1.1783087677811,106374141,32.87799,-117.22331,1.30439733355682,3903,4253,8719,3878,4318,8972
