GEOID,TractLat,TractLon,OSHPDID_1,HospLat_1,HospLon_1,Dist_1,OSHPDID_2,HospLat_2,HospLon_2,Dist_2,OSHPDID_3,HospLat_3,HospLon_3,Dist_3,duration_0,duration_1,duration_2,duration_in_traffic_0,duration_in_traffic_1,duration_in_traffic_2
6037228320,34.0078219,-118.263636,106190125,34.03721,-118.26551,0.0294477893501348,106190197,33.98929,-118.22466,0.0431573851572433,106190392,34.05324,-118.26522,0.0454457133689185,694,871,974,551,597,644
6037228410,34.01374,-118.2691132,106190125,34.03721,-118.26551,0.0237449773687017,106190392,34.05324,-118.26522,0.039691397131373,106190762,34.06311,-118.27302,0.0495243373124799,544,857,906,428,567,563
6037228420,34.0082598,-118.2718914,106190125,34.03721,-118.26551,0.0296451740760647,106190392,34.05324,-118.26522,0.0454722549473902,106190197,33.98929,-118.22466,0.0508985113534781,618,857,933,480,569,633
6037228500,34.003492,-118.2690648,106190125,34.03721,-118.26551,0.0339048687807511,106190197,33.98929,-118.22466,0.0466206292003841,106190392,34.05324,-118.26522,0.0498963524823215,717,866,898,562,579,604
6037228600,34.0036935,-118.2608661,106190125,34.03721,-118.26551,0.0338366898419505,106190197,33.98929,-118.22466,0.0389659144568697,106190392,34.05324,-118.26522,0.0497374316532378,775,749,964,518,486,625
6037228710,33.9993679,-118.2542903,106190197,33.98929,-118.22466,0.0312972642015201,106190125,34.03721,-118.26551,0.0394703205016148,106190392,34.05324,-118.26522,0.0549696416260837,652,871,1136,471,651,757
6037228720,33.999367,-118.2499406,106190197,33.98929,-118.22466,0.0272149713459367,106190125,34.03721,-118.26551,0.0409206410673183,106190468,34.03959,-118.21247,0.0549721346989568,607,865,885,470,657,622
6037228800,33.9992469,-118.2432565,106190197,33.98929,-118.22466,0.0210943042042196,106190125,34.03721,-118.26551,0.0440047181999856,106190468,34.03959,-118.21247,0.0507481457775536,437,804,728,323,658,577
6037228900,33.9920544,-118.2430143,106190197,33.98929,-118.22466,0.0185613101867829,106190125,34.03721,-118.26551,0.0504488327897726,106190468,34.03959,-118.21247,0.0565029869108687,425,887,811,314,738,653
6037229100,33.9921607,-118.2520958,106190197,33.98929,-118.22466,0.0275855766684397,106190125,34.03721,-118.26551,0.0470040444231153,106190468,34.03959,-118.21247,0.0618040655954814,524,889,842,354,688,651
