"GEOID","TractLat","TractLon","OSHPDID_1","HospLat_1","HospLon_1","Dist_1","OSHPDID_2","HospLat_2","HospLon_2","Dist_2","OSHPDID_3","HospLat_3","HospLon_3","Dist_3"
6001400100,37.8676275,-122.231946,106010735,37.76266,-122.253991,0.107257438349281,106070924,38.00646,-122.13101,0.171646552986793,106384200,37.77189,-122.39129,0.185892924131734
6001400200,37.8481386,-122.2495968,106010735,37.76266,-122.253991,0.0855914718391974,106384200,37.77189,-122.39129,0.160906220912038,106380939,37.75657,-122.40637,0.181556175175056
6001400300,37.8405983,-122.2544365,106010735,37.76266,-122.253991,0.0779395732419741,106384200,37.77189,-122.39129,0.153132984530234,106380939,37.75657,-122.40637,0.17362184085863
6001400400,37.8482803,-122.2574533,106010735,37.76266,-122.253991,0.0856902753722991,106384200,37.77189,-122.39129,0.154103018143634,106380939,37.75657,-122.40637,0.174891288133456
6001400500,37.8485412,-122.2647277,106010735,37.76266,-122.253991,0.0865497385341556,106384200,37.77189,-122.39129,0.147964260018179,106380939,37.75657,-122.40637,0.168882334122695
6001400600,37.8419909,-122.2648882,106010735,37.76266,-122.253991,0.0800758431903824,106384200,37.77189,-122.39129,0.144539099291664,106380939,37.75657,-122.40637,0.16526896226469
6001400700,37.8417667,-122.2723529,106010735,37.76266,-122.253991,0.0812097860882618,106384200,37.77189,-122.39129,0.137944869274997,106380939,37.75657,-122.40637,0.158805103139975
6001400800,37.8454675,-122.2833944,106010735,37.76266,-122.253991,0.0878728740158841,106384200,37.77189,-122.39129,0.130595210500252,106380939,37.75657,-122.40637,0.151742425516421
6001400900,37.8394912,-122.2802646,106010735,37.76266,-122.253991,0.0811993556033586,106384200,37.77189,-122.39129,0.129986775044992,106380939,37.75657,-122.40637,0.150925469416527
6001401000,37.8312255,-122.2719014,106010735,37.76266,-122.253991,0.0708661429627113,106384200,37.77189,-122.39129,0.133320438681417,106380939,37.75657,-122.40637,0.15380262698084
6001401100,37.8305038,-122.2638582,106010735,37.76266,-122.253991,0.0685575877221558,106384200,37.77189,-122.39129,0.140265609476008,106380939,37.75657,-122.40637,0.160548497101898
6001401200,37.8306139,-122.2579003,106010735,37.76266,-122.253991,0.0680662556021777,106384200,37.77189,-122.39129,0.145743982713851,106380939,37.75657,-122.40637,0.165908863371725
6001401300,37.8181162,-122.2666978,106010735,37.76266,-122.253991,0.0568933465765608,106384200,37.77189,-122.39129,0.132891225697091,106380939,37.75657,-122.40637,0.152631118017517
6001401400,37.820756,-122.2733874,106010735,37.76266,-122.253991,0.0612483922153183,106384200,37.77189,-122.39129,0.127628010416035,106380939,37.75657,-122.40637,0.14766250200629
6001401500,37.8229286,-122.2806336,106010735,37.76266,-122.253991,0.0658948577714601,106384200,37.77189,-122.39129,0.121859663346474,106380939,37.75657,-122.40637,0.14217280358394
6001401600,37.8173716,-122.2814825,106010735,37.76266,-122.253991,0.0612302355606369,106384200,37.77189,-122.39129,0.118853956580366,106380939,37.75657,-122.40637,0.13890184382797
6001401700,37.8225184,-122.3077741,106010735,37.76266,-122.253991,0.0804714228541557,106384200,37.77189,-122.39129,0.0976634037875336,106380939,37.75657,-122.40637,0.118618476467066
6001401800,37.8095326,-122.2982355,106010735,37.76266,-122.253991,0.0644563139731999,106384200,37.77189,-122.39129,0.100379805264834,106380939,37.75657,-122.40637,0.120408085646303
6001402200,37.8063521,-122.2963073,106010735,37.76266,-122.253991,0.060824903190231,106384200,37.77189,-122.39129,0.101041326375388,106380939,37.75657,-122.40637,0.120797580322205
6001402400,37.812031,-122.2824569,106010735,37.76266,-122.253991,0.0569894999435063,106384200,37.77189,-122.39129,0.115999756623048,106380939,37.75657,-122.40637,0.135758531491057
6001402500,37.8057305,-122.2847803,106010735,37.76266,-122.253991,0.052943828391429,106384200,37.77189,-122.39129,0.111756412050218,106380939,37.75657,-122.40637,0.131151858188667
6001402600,37.8042701,-122.2799551,106010735,37.76266,-122.253991,0.0490462527704259,106384200,37.77189,-122.39129,0.115947966062442,106380939,37.75657,-122.40637,0.135114864030644
6001402700,37.8103873,-122.276991,106010735,37.76266,-122.253991,0.0529801393475988,106384200,37.77189,-122.39129,0.120608057393723,106380939,37.75657,-122.40637,0.140125755734946
6001402800,37.808718,-122.2715001,106010735,37.76266,-122.253991,0.0492738058892413,106384200,37.77189,-122.39129,0.125323268892918,106380939,37.75657,-122.40637,0.144600497336659
6001402900,37.8071721,-122.2667847,106010735,37.76266,-122.253991,0.0463142073893201,106384200,37.77189,-122.39129,0.129407868031645,106380939,37.75657,-122.40637,0.148474336167898
6001403000,37.8004341,-122.2707274,106010735,37.76266,-122.253991,0.0413157320614128,106384200,37.77189,-122.39129,0.123895545374183,106380939,37.75657,-122.40637,0.142558669338517
6001403100,37.8022741,-122.2755012,106010735,37.76266,-122.253991,0.0450773293668834,106384200,37.77189,-122.39129,0.119708979355133,106380939,37.75657,-122.40637,0.138620011435038
6001403300,37.7944308,-122.2663244,106010735,37.76266,-122.253991,0.0340807348541763,106384200,37.77189,-122.39129,0.126982238317,106380939,37.75657,-122.40637,0.14507312037727
6001403400,37.8026482,-122.2626597,106010735,37.76266,-122.253991,0.0409170196731206,106384200,37.77189,-122.39129,0.132256648019394,106380939,37.75657,-122.40637,0.150916701664621
