GEOID,TractLat,TractLon,OSHPDID_1,HospLat_1,HospLon_1,Dist_1,OSHPDID_2,HospLat_2,HospLon_2,Dist_2,OSHPDID_3,HospLat_3,HospLon_3,Dist_3,duration_0,duration_1,duration_2,duration_in_traffic_0,duration_in_traffic_1,duration_in_traffic_2
6037463900,34.1292208,-118.156538,306197917,34.13014,-118.15037,0.00623611679172437,306191135,34.11147,-118.18891,0.0369193348347539,306196420,34.11147,-118.18891,0.0369193348347539,265,444,444,254,482,482
6037464000,34.1265375,-118.1384937,306197917,34.13014,-118.15037,0.0124106610597475,306197166,34.09181,-118.12448,0.0374484050920659,306190611,34.16387,-118.1325,0.0378105804761106,291,577,715,280,553,662
6037464100,34.1202462,-118.1222337,306197166,34.09181,-118.12448,0.0285247845588662,306197328,34.09141,-118.1242,0.0289031618707998,306197917,34.13014,-118.15037,0.0298251346372485,601,606,633,583,588,668
6037464200,34.1273015,-118.0983767,306197163,34.14217,-118.08553,0.0196496817567076,306196013,34.101883,-118.073446,0.0356039315910472,306197039,34.09074,-118.09089,0.0373201548649033,254,610,498,252,596,494
6037480002,34.1203819,-118.0861037,306197163,34.14217,-118.08553,0.0217956517062481,306196013,34.101883,-118.073446,0.0224148760982451,306197039,34.09074,-118.09089,0.0300258372622671,337,452,366,349,493,361
6037480011,34.1261899,-118.0762456,306197163,34.14217,-118.08553,0.018481441485183,306196013,34.101883,-118.073446,0.0244675938287747,306197039,34.09074,-118.09089,0.0383556235951195,374,459,526,400,421,533
6037480012,34.1180317,-118.0740581,306196013,34.101883,-118.073446,0.0161602963493888,306197163,34.14217,-118.08553,0.0267256808425892,306197039,34.09074,-118.09089,0.0320647742312391,340,437,503,291,475,524
6037480101,34.1092,-118.0734465,306196013,34.101883,-118.073446,0.00731700001708397,306197039,34.09074,-118.09089,0.0253977812465996,306197163,34.14217,-118.08553,0.0351145535675735,250,449,467,239,452,501
6037480102,34.1081935,-118.0849734,306196013,34.101883,-118.073446,0.0131416650775225,306197039,34.09074,-118.09089,0.018429075337904,306197163,34.14217,-118.08553,0.0339810587800043,303,322,461,283,296,484
6037480201,34.1081475,-118.1107586,306197166,34.09181,-118.12448,0.0213351991837478,306197328,34.09141,-118.1242,0.0214666052325481,306197039,34.09074,-118.09089,0.02641556969308,410,420,437,377,416,438
6037480202,34.1089102,-118.0972871,306197039,34.09074,-118.09089,0.0192634123781332,306196013,34.101883,-118.073446,0.0248551722796257,306197328,34.09141,-118.1242,0.0321023548427484,308,420,482,286,395,475
6037480302,34.1012449,-118.1218022,306197166,34.09181,-118.12448,0.00980754560784258,306197328,34.09141,-118.1242,0.0101229789513696,306194481,34.08455,-118.12304,0.0167407238448614,254,250,303,237,233,280
6037480303,34.0951421,-118.1377177,306197166,34.09181,-118.12448,0.0136506260552296,306197328,34.09141,-118.1242,0.014023436943196,306194481,34.08455,-118.12304,0.0181004823057211,314,320,386,284,289,397
6037480304,34.0961677,-118.1316021,306197166,34.09181,-118.12448,0.00834948248095948,306197328,34.09141,-118.1242,0.00879924961004561,306194481,34.08455,-118.12304,0.0144319267493953,213,219,331,193,197,291
6037480400,34.1039997,-118.1321698,306197166,34.09181,-118.12448,0.0144125573764659,306197328,34.09141,-118.1242,0.0149002771158779,306194481,34.08455,-118.12304,0.0214859041729698,248,254,365,208,213,328
6037480500,34.1082671,-118.1449213,306197917,34.13014,-118.15037,0.0225413417102875,306197166,34.09181,-118.12448,0.026242768262883,306197328,34.09141,-118.1242,0.0267120589640613,355,392,398,396,366,370
6037480600,34.1193401,-118.1551292,306197917,34.13014,-118.15037,0.0118020262942421,306191135,34.11147,-118.18891,0.0346854569329891,306196420,34.11147,-118.18891,0.0346854569329891,276,249,249,258,234,234
6037480702,34.1049412,-118.1699084,306191135,34.11147,-118.18891,0.020091939478317,306196420,34.11147,-118.18891,0.020091939478317,306197165,34.08601,-118.17905,0.021022825309649,316,316,414,329,329,422
6037480703,34.1100892,-118.1628455,306197917,34.13014,-118.15037,0.0236150943443001,306191135,34.11147,-118.18891,0.0261010491913678,306196420,34.11147,-118.18891,0.0261010491913678,465,411,411,502,425,425
6037480704,34.10578,-118.1537051,306197917,34.13014,-118.15037,0.024587242464533,306197165,34.08601,-118.17905,0.0321436907652252,306197166,34.09181,-118.12448,0.032392396793221,394,383,489,421,367,493
6037480802,34.0820627,-118.1526495,306197165,34.08601,-118.17905,0.0266939614433759,306194481,34.08455,-118.12304,0.0297137872298288,306196288,34.08455,-118.12304,0.0297137872298288,469,428,428,515,433,433
6037480803,34.0909207,-118.1536066,306197165,34.08601,-118.17905,0.0259129615839252,306197166,34.09181,-118.12448,0.0291401729927927,306197328,34.09141,-118.1242,0.0294106704794381,330,490,496,335,548,553
6037480804,34.0957577,-118.1472584,306197166,34.09181,-118.12448,0.0231179549668576,306197328,34.09141,-118.1242,0.0234647034042583,306194481,34.08455,-118.12304,0.0266860157732428,417,423,535,399,403,511
6037480901,34.0869807,-118.140161,306197166,34.09181,-118.12448,0.016407799958863,306197328,34.09141,-118.1242,0.0165641848423092,306194481,34.08455,-118.12304,0.0172926846813933,352,358,410,418,422,427
6037480902,34.0802793,-118.1390208,306194481,34.08455,-118.12304,0.0165416095688964,306196288,34.08455,-118.12304,0.0165416095688964,306197328,34.09141,-118.1242,0.018535063936494,333,333,336,360,360,358
6037480903,34.0736606,-118.139349,306274059,34.06418,-118.12283,0.0190462368293584,306194481,34.08455,-118.12304,0.0196102655096721,306196288,34.08455,-118.12304,0.0196102655096721,354,423,423,353,463,463
6037481001,34.0876622,-118.1302887,306197166,34.09181,-118.12448,0.00713759346908423,306197328,34.09141,-118.1242,0.00714970436661224,306194481,34.08455,-118.12304,0.00788856390795242,150,156,172,191,195,168
6037481002,34.0951879,-118.1189741,306197328,34.09141,-118.1242,0.00644845401782164,306197166,34.09181,-118.12448,0.00645950022989465,306194481,34.08455,-118.12304,0.0113884353279975,150,155,204,136,140,183
6037481101,34.099157,-118.1069461,306197039,34.09074,-118.09089,0.0181285475482739,306197328,34.09141,-118.1242,0.0189133041589755,306197166,34.09181,-118.12448,0.0190109457473863,260,254,258,233,233,237
6037481102,34.0998401,-118.0944617,306197039,34.09074,-118.09089,0.00977593273811001,306196013,34.101883,-118.073446,0.0211147599299561,306197328,34.09141,-118.1242,0.0309100804415046,239,351,467,235,343,473
