GEOID,TractLat,TractLon,OSHPDID_1,HospLat_1,HospLon_1,Dist_1,OSHPDID_2,HospLat_2,HospLon_2,Dist_2,OSHPDID_3,HospLat_3,HospLon_3,Dist_3,duration_0,duration_1,duration_2,duration_in_traffic_0,duration_in_traffic_1,duration_in_traffic_2
6001400100,37.8676275,-122.231946,106010739,37.85645,-122.25743,0.0278275180756421,106010844,37.86373,-122.26984,0.0380939068914,106010776,37.83722,-122.26747,0.0467607809200231,340,675,673,346,687,656
6001400200,37.8481386,-122.2495968,106010739,37.85645,-122.25743,0.0114209628403194,106010776,37.83722,-122.26747,0.0209443812083291,106014326,37.82402,-122.25791,0.0255110987650451,316,383,562,341,377,579
6001400300,37.8405983,-122.2544365,106010776,37.83722,-122.26747,0.0134642130531332,106010739,37.85645,-122.25743,0.0161318763676139,106014326,37.82402,-122.25791,0.0169382771597407,304,399,435,289,422,449
6001400400,37.8482803,-122.2574533,106010739,37.85645,-122.25743,0.00816973322575806,106010776,37.83722,-122.26747,0.014921947425859,106010844,37.86373,-122.26984,0.0198021101648314,251,320,483,244,346,530
6001400500,37.8485412,-122.2647277,106010739,37.85645,-122.25743,0.0107612983756595,106010776,37.83722,-122.26747,0.0116485955689942,106010844,37.86373,-122.26984,0.0160260805167698,258,215,344,259,204,362
6001400600,37.8419909,-122.2648882,106010776,37.83722,-122.26747,0.00542468229945113,106010739,37.85645,-122.25743,0.0162693060715609,106014326,37.82402,-122.25791,0.0192781877273292,127,304,444,144,289,434
6001400700,37.8417667,-122.2723529,106010776,37.83722,-122.26747,0.00667197072085699,106010739,37.85645,-122.25743,0.0209354303347245,106010844,37.86373,-122.26984,0.0221065875543879,154,439,435,155,448,438
6001400800,37.8454675,-122.2833944,106010776,37.83722,-122.26747,0.0179334260979331,106010844,37.86373,-122.26984,0.0227429256167728,106010739,37.85645,-122.25743,0.0281915833824643,393,440,451,405,426,422
6001400900,37.8394912,-122.2802646,106010776,37.83722,-122.26747,0.0129946196019654,106013626,37.81994,-122.2643,0.0252411940010665,106013687,37.81944,-122.26451,0.0255001576975459,269,600,595,298,598,589
6001401000,37.8312255,-122.2719014,106010776,37.83722,-122.26747,0.00745461844831856,106013626,37.81994,-122.2643,0.0136067553887755,106010937,37.82106,-122.26257,0.0137990005511317,159,384,325,174,366,307
6001401100,37.8305038,-122.2638582,106010776,37.83722,-122.26747,0.00762577482489527,106014326,37.82402,-122.25791,0.00879890593654334,106010937,37.82106,-122.26257,0.00953125477993354,208,231,225,214,228,218
6001401200,37.8306139,-122.2579003,106014326,37.82402,-122.25791,0.00659390713462626,106010937,37.82106,-122.26257,0.0106340539447544,106010776,37.83722,-122.26747,0.0116284012357671,246,258,312,238,255,324
6001401300,37.8181162,-122.2666978,106013687,37.81944,-122.26451,0.00255713028217389,106013626,37.81994,-122.2643,0.00301258880035104,106010937,37.82106,-122.26257,0.00506997941613927,79,94,138,81,97,173
6001401400,37.820756,-122.2733874,106013687,37.81944,-122.26451,0.00897441289222081,106013626,37.81994,-122.2643,0.0091239626676118,106010937,37.82106,-122.26257,0.0108216707933741,213,229,257,226,242,276
6001401500,37.8229286,-122.2806336,106013687,37.81944,-122.26451,0.0164966907869423,106013626,37.81994,-122.2643,0.0166047649462386,106010937,37.82106,-122.26257,0.0181599920407515,363,378,395,372,387,425
6001401600,37.8173716,-122.2814825,106013687,37.81944,-122.26451,0.0170980710844762,106013626,37.81994,-122.2643,0.017373398769661,106010937,37.82106,-122.26257,0.0192688077163579,415,430,466,399,415,464
6001401700,37.8225184,-122.3077741,106010776,37.83722,-122.26747,0.0429017193055253,106013687,37.81944,-122.26451,0.0433734814762448,106013626,37.81994,-122.2643,0.0435504938820418,453,554,538,475,598,567
6001401800,37.8095326,-122.2982355,106013687,37.81944,-122.26451,0.0351506177045332,106013626,37.81994,-122.2643,0.0354955227459746,106010937,37.82106,-122.26257,0.037482113614505,661,676,641,630,647,671
6001402200,37.8063521,-122.2963073,106013687,37.81944,-122.26451,0.0343854826009417,106013626,37.81994,-122.2643,0.0347720905281728,106010937,37.82106,-122.26257,0.0368039092176367,650,665,598,614,633,625
6001402400,37.812031,-122.2824569,106013687,37.81944,-122.26451,0.0194160887052459,106013626,37.81994,-122.2643,0.0198046787050399,106010937,37.82106,-122.26257,0.0218405959765345,453,468,504,446,461,509
